feature,imp
Z_score_p13N_Falcon_ARPEU_inv,0
Z_score_p12N_Falcon_ARPEU_inv,0
Z_score_p11N_Falcon_ARPEU_inv,0
Z_score_p10N_Falcon_ARPEU_inv,0
Z_score_p9N_Falcon_ARPEU_inv,0
Z_score_p8N_Falcon_ARPEU_inv,0
Z_score_p7N_Falcon_ARPEU_inv,0
Z_score_p6N_Falcon_ARPEU_inv,0
Z_score_p5N_Falcon_ARPEU_inv,0
Z_score_p4N_Falcon_ARPEU_inv,0
Z_score_p3N_Falcon_ARPEU_inv,0
Z_score_p2N_Falcon_ARPEU_inv,0
Z_score_p1N_Falcon_ARPEU_inv,0
Z_score_p0N_Falcon_ARPEU_inv,0
Z_score_p17_Falcon_ARPEU_inv,0
Z_score_p16_Falcon_ARPEU_inv,0
Z_score_p2_Falcon_ARPEU_inv,0
Z_score_p3_Falcon_ARPEU_inv,0
Z_score_p4_Falcon_ARPEU_inv,0
Z_score_p5_Falcon_ARPEU_inv,0
Z_score_p6_Falcon_ARPEU_inv,0
Z_score_p7_Falcon_ARPEU_inv,0
Z_score_p17S_Falcon_ARPEU_inv,0
Z_score_p8_Falcon_ARPEU_inv,0
Z_score_p10_Falcon_ARPEU_inv,0
Z_score_p11_Falcon_ARPEU_inv,0
Z_score_p12_Falcon_ARPEU_inv,0
Z_score_p13_Falcon_ARPEU_inv,0
Z_score_p14_Falcon_ARPEU_inv,0
Z_score_p15_Falcon_ARPEU_inv,0
Z_score_p9_Falcon_ARPEU_inv,0
Z_score_p6_Tortoise_Closing_inv,0
Z_score_p3N_Falcon_ARPNU_inv,0
Z_score_p1N_Falcon_ARPNU_inv,0
Z_score_p0S_Falcon_ARPNU_inv,0
recent_ptp_Falcon_ARPNU_inv,0
recent_std_Falcon_ARPNU_inv,0
Z_score_p17N_Tortoise_Closing_inv,0
Z_score_p16N_Tortoise_Closing_inv,0
Z_score_p15N_Tortoise_Closing_inv,0
Z_score_p14N_Tortoise_Closing_inv,0
Z_score_p13N_Tortoise_Closing_inv,0
Z_score_p12N_Tortoise_Closing_inv,0
Z_score_p11N_Tortoise_Closing_inv,0
Z_score_p10N_Tortoise_Closing_inv,0
Z_score_p9N_Tortoise_Closing_inv,0
Z_score_p8N_Tortoise_Closing_inv,0
Z_score_p7N_Tortoise_Closing_inv,0
Z_score_p6N_Tortoise_Closing_inv,0
Z_score_p5N_Tortoise_Closing_inv,0
Z_score_p4N_Tortoise_Closing_inv,0
Z_score_p8_Tortoise_Closing_inv,0
Z_score_p9_Tortoise_Closing_inv,0
Z_score_p10_Tortoise_Closing_inv,0
Z_score_p11_Tortoise_Closing_inv,0
Z_score_p12_Tortoise_Closing_inv,0
Z_score_p13_Tortoise_Closing_inv,0
Z_score_p2S_Falcon_ARPNU_inv,0
Z_score_p14_Tortoise_Closing_inv,0
Z_score_p16_Tortoise_Closing_inv,0
Z_score_p17_Tortoise_Closing_inv,0
Z_score_p0N_Tortoise_Closing_inv,0
Z_score_p1N_Tortoise_Closing_inv,0
Z_score_p2N_Tortoise_Closing_inv,0
Z_score_p3N_Tortoise_Closing_inv,0
Z_score_p15_Tortoise_Closing_inv,0
Z_score_p2N_Falcon_ARPNU_inv,0
Z_score_p3S_Falcon_ARPNU_inv,0
Z_score_p5S_Falcon_ARPNU_inv,0
Z_score_p0N_Falcon_ARPNU_inv,0
Z_score_p17_Falcon_ARPNU_inv,0
Z_score_p16_Falcon_ARPNU_inv,0
Z_score_p15_Falcon_ARPNU_inv,0
Z_score_p14_Falcon_ARPNU_inv,0
Z_score_p13_Falcon_ARPNU_inv,0
Z_score_p12_Falcon_ARPNU_inv,0
Z_score_p11_Falcon_ARPNU_inv,0
Z_score_p10_Falcon_ARPNU_inv,0
Z_score_p9_Falcon_ARPNU_inv,0
Z_score_p8_Falcon_ARPNU_inv,0
Z_score_p7_Falcon_ARPNU_inv,0
Z_score_p6_Falcon_ARPNU_inv,0
Z_score_p5_Falcon_ARPNU_inv,0
Z_score_p4_Falcon_ARPNU_inv,0
Z_score_p3_Falcon_ARPNU_inv,0
Z_score_p2_Falcon_ARPNU_inv,0
Z_score_p6S_Falcon_ARPNU_inv,0
Z_score_p7S_Falcon_ARPNU_inv,0
Z_score_p8S_Falcon_ARPNU_inv,0
Z_score_p9S_Falcon_ARPNU_inv,0
Z_score_p10S_Falcon_ARPNU_inv,0
Z_score_p11S_Falcon_ARPNU_inv,0
Z_score_p4S_Falcon_ARPNU_inv,0
Z_score_p12S_Falcon_ARPNU_inv,0
Z_score_p14S_Falcon_ARPNU_inv,0
Z_score_p15S_Falcon_ARPNU_inv,0
Z_score_p16S_Falcon_ARPNU_inv,0
Z_score_p17S_Falcon_ARPNU_inv,0
Z_score_p0_Falcon_ARPNU_inv,0
Z_score_p1_Falcon_ARPNU_inv,0
Z_score_p13S_Falcon_ARPNU_inv,0
Z_score_p15N_Falcon_ARPEU_inv,0
recent_std_Tortoise_NetAdds_inv,0
Z_score_p16N_Tortoise_Revenue_inv,0
Z_score_p1N_Falcon_Churn,0
Z_score_p0N_Falcon_Churn,0
Z_score_p17_Falcon_Churn,0
Z_score_p16_Falcon_Churn,0
Z_score_p15_Falcon_Churn,0
Z_score_p14_Falcon_Churn,0
Z_score_p13_Falcon_Churn,0
Z_score_p12_Falcon_Churn,0
Z_score_p11_Falcon_Churn,0
Z_score_p10_Falcon_Churn,0
Z_score_p9_Falcon_Churn,0
Z_score_p8_Falcon_Churn,0
Z_score_p7_Falcon_Churn,0
Z_score_p6_Falcon_Churn,0
Z_score_p5_Falcon_Churn,0
Z_score_p4_Falcon_Churn,0
Z_score_p3_Falcon_Churn,0
Z_score_p6S_Falcon_Churn,0
Z_score_p7S_Falcon_Churn,0
Z_score_p8S_Falcon_Churn,0
Z_score_p9S_Falcon_Churn,0
Z_score_p10S_Falcon_Churn,0
Z_score_p11S_Falcon_Churn,0
Z_score_p2N_Falcon_Churn,0
