feature,imp
Z_score_p8_Tortoise_ARPNU_inv,1.3656523250000001
Z_score_p11N_Falcon_Opening,1.36910248
Z_score_p6S_Tortoise_Gross,1.36931419
Z_score_p3_Falcon_ARPEU,1.36962986
Z_score_p3_Falcon_Migrate_inv,1.3703612375
Z_score_p12S_Falcon_Migrate,1.37371945
Z_score_p1_Tortoise_Migrate_inv,1.37612772
recent_min_Tortoise_Migrate_inv,1.3768183299999999
Z_score_p3S_Falcon_NetAdds_inv,1.3769824899999998
Tortoise_Migrate_inv,1.3796053804285715
Z_score_p1_Falcon_Migrate,1.3959313338
Z_score_p1_Falcon_NetAdds,1.40199081
Z_score_p6N_Tortoise_ARPEU,1.407397748
Z_score_p5N_Falcon_ARPNU,1.41272163
Z_score_p2N_Tortoise_NetAdds,1.4142521236666667
Z_score_p0_Tortoise_NetAdds,1.4150540362000001
Z_score_p9S_Tortoise_Opening_inv,1.41754961
Z_score_p2N_Falcon_NetAdds_inv,1.417710365
Z_score_p13N,1.4274807514444445
Z_score_p6S_Falcon_Churn,1.42992751
Z_score_p2N_Falcon_Churn,1.43033075
Z_score_p13S_Tortoise_Gross,1.43066162
Z_score_p4N_Tortoise_Closing_inv,1.43420482
Z_score_p3_Tortoise_Leavers_inv,1.437653384
Z_score_p4S_Tortoise_ARPEU,1.4382973751428572
Z_score_p4N_Tortoise_Migrate,1.4406797500000001
Z_score_p11S_Falcon_Migrate,1.44287992
Z_score_p12N,1.4451659701818185
Z_score_p9S_Tortoise_NetAdds_inv,1.44815063
Z_score_p10S_Falcon_ARPEU_inv,1.44860315
Z_score_p1_Falcon_ARPEU,1.4553844133333333
Z_score_p1_Tortoise_Gross_inv,1.4647747899999999
Z_score_p1S_Falcon_NetAdds_inv,1.464794178
Z_score_p1_Tortoise_NetAdds,1.4672377594000001
Z_score_p9_Falcon_ARPNU,1.47087049
Z_score_p4S_Falcon_ARPNU,1.4749780495
Z_score_p5S_Tortoise_Closing,1.47770286
Z_score_p9S_Falcon_NetAdds,1.4787670350000002
Z_score_p2N_Falcon_Migrate,1.4829864866666664
Z_score_p0N_Tortoise_Revenue,1.485487997
Z_score_p6N_Tortoise_NetAdds_inv,1.4888031776666668
Z_score_p11_Falcon_ARPNU_inv,1.49143529
Z_score_p0N_Tortoise_ARPEU,1.496525784
Z_score_p5_Falcon_ARPEU,1.4989976402
Z_score_p6N_Falcon_NetAdds,1.50228584
Z_score_p3N_Tortoise_Revenue,1.5076706803333335
Z_score_p3N_Falcon_Migrate,1.5145783425000001
recent_ptp_Falcon_Closing_inv,1.51530457
Z_score_p10_Tortoise_Opening,1.51990128
Z_score_p5N_Falcon_Migrate_inv,1.52402544
Z_score_p2_Falcon_Migrate,1.5251133504999999
recent_max_Tortoise_Leavers,1.526771583333333
Z_score_p4N_Tortoise_ARPEU,1.52700043
Z_score_p7S_Falcon_Opening,1.52734113
Z_score_p5N_Falcon_ARPEU_inv,1.5274026995
Z_score_p0_Falcon_Opening_inv,1.52907944
Z_score_p6N_Falcon_ARPNU_inv,1.531220195
Z_score_p1_Falcon_Revenue,1.5343378785
Z_score_p10_Falcon_Opening,1.535761835
Z_score_p6_Tortoise_Migrate_inv,1.53812027
Z_score_p7S_Tortoise_Migrate_inv,1.5386502766666663
Z_score_p2S_Falcon_Closing,1.54030317
